"gutenberg_id" "text"
"80" 105 "to herself, to settle close by her, in the village of Kellynch; and on"
"81" 105 "her kindness and advice, Lady Elliot mainly relied for the best help"
"82" 105 "and maintenance of the good principles and instruction which she had"
"83" 105 "been anxiously giving her daughters."
"84" 105 ""
"85" 105 "This friend, and Sir Walter, did not marry, whatever might have been"
"86" 105 "anticipated on that head by their acquaintance.  Thirteen years had"
"87" 105 "passed away since Lady Elliot's death, and they were still near"
"88" 105 "neighbours and intimate friends, and one remained a widower, the other"
"89" 105 "a widow."
"90" 105 ""
"91" 105 "That Lady Russell, of steady age and character, and extremely well"
"92" 105 "provided for, should have no thought of a second marriage, needs no"
"93" 105 "apology to the public, which is rather apt to be unreasonably"
"94" 105 "discontented when a woman does marry again, than when she does not; but"
"95" 105 "Sir Walter's continuing in singleness requires explanation.  Be it"
"96" 105 "known then, that Sir Walter, like a good father, (having met with one"
"97" 105 "or two private disappointments in very unreasonable applications),"
"98" 105 "prided himself on remaining single for his dear daughters' sake.  For"
"99" 105 "one daughter, his eldest, he would really have given up any thing,"
"100" 105 "which he had not been very much tempted to do.  Elizabeth had"
"101" 105 "succeeded, at sixteen, to all that was possible, of her mother's rights"
"102" 105 "and consequence; and being very handsome, and very like himself, her"
"103" 105 "influence had always been great, and they had gone on together most"
"104" 105 "happily.  His two other children were of very inferior value.  Mary had"
"105" 105 "acquired a little artificial importance, by becoming Mrs Charles"
"106" 105 "Musgrove; but Anne, with an elegance of mind and sweetness of"
"107" 105 "character, which must have placed her high with any people of real"
"108" 105 "understanding, was nobody with either father or sister; her word had no"
"109" 105 "weight, her convenience was always to give way--she was only Anne."
"110" 105 ""
"111" 105 "To Lady Russell, indeed, she was a most dear and highly valued"
"112" 105 "god-daughter, favourite, and friend.  Lady Russell loved them all; but"
"113" 105 "it was only in Anne that she could fancy the mother to revive again."
"114" 105 ""
"115" 105 "A few years before, Anne Elliot had been a very pretty girl, but her"
"116" 105 "bloom had vanished early; and as even in its height, her father had"
"117" 105 "found little to admire in her, (so totally different were her delicate"
"118" 105 "features and mild dark eyes from his own), there could be nothing in"
"119" 105 "them, now that she was faded and thin, to excite his esteem. He had"
"120" 105 "never indulged much hope, he had now none, of ever reading her name in"
"121" 105 "any other page of his favourite work.  All equality of alliance must"
"122" 105 "rest with Elizabeth, for Mary had merely connected herself with an old"
"123" 105 "country family of respectability and large fortune, and had therefore"
"124" 105 "given all the honour and received none: Elizabeth would, one day or"
"125" 105 "other, marry suitably."
"126" 105 ""
"127" 105 "It sometimes happens that a woman is handsomer at twenty-nine than she"
"128" 105 "was ten years before; and, generally speaking, if there has been"
"129" 105 "neither ill health nor anxiety, it is a time of life at which scarcely"
"130" 105 "any charm is lost.  It was so with Elizabeth, still the same handsome"
"131" 105 "Miss Elliot that she had begun to be thirteen years ago, and Sir Walter"
"132" 105 "might be excused, therefore, in forgetting her age, or, at least, be"
"133" 105 "deemed only half a fool, for thinking himself and Elizabeth as blooming"
"134" 105 "as ever, amidst the wreck of the good looks of everybody else; for he"
"135" 105 "could plainly see how old all the rest of his family and acquaintance"
"136" 105 "were growing.  Anne haggard, Mary coarse, every face in the"
"137" 105 "neighbourhood worsting, and the rapid increase of the crow's foot about"
"138" 105 "Lady Russell's temples had long been a distress to him."
"139" 105 ""
"140" 105 "Elizabeth did not quite equal her father in personal contentment."
"141" 105 "Thirteen years had seen her mistress of Kellynch Hall, presiding and"
"142" 105 "directing with a self-possession and decision which could never have"
"143" 105 "given the idea of her being younger than she was.  For thirteen years"
"144" 105 "had she been doing the honours, and laying down the domestic law at"
"145" 105 "home, and leading the way to the chaise and four, and walking"
"146" 105 "immediately after Lady Russell out of all the drawing-rooms and"
"147" 105 "dining-rooms in the country.  Thirteen winters' revolving frosts had"
"148" 105 "seen her opening every ball of credit which a scanty neighbourhood"
"149" 105 "afforded, and thirteen springs shewn their blossoms, as she travelled"
"150" 105 "up to London with her father, for a few weeks' annual enjoyment of the"
"151" 105 "great world.  She had the remembrance of all this, she had the"
"152" 105 "consciousness of being nine-and-twenty to give her some regrets and"
"153" 105 "some apprehensions; she was fully satisfied of being still quite as"
"154" 105 "handsome as ever, but she felt her approach to the years of danger, and"
"155" 105 "would have rejoiced to be certain of being properly solicited by"
"156" 105 "baronet-blood within the next twelvemonth or two.  Then might she again"
"157" 105 "take up the book of books with as much enjoyment as in her early youth,"
"158" 105 "but now she liked it not.  Always to be presented with the date of her"
"159" 105 "own birth and see no marriage follow but that of a youngest sister,"
"160" 105 "made the book an evil; and more than once, when her father had left it"
"161" 105 "open on the table near her, had she closed it, with averted eyes, and"
"162" 105 "pushed it away."
"163" 105 ""
"164" 105 "She had had a disappointment, moreover, which that book, and especially"
"165" 105 "the history of her own family, must ever present the remembrance of."
"166" 105 "The heir presumptive, the very William Walter Elliot, Esq., whose"
"167" 105 "rights had been so generously supported by her father, had disappointed"
"168" 105 "her."
"169" 105 ""
"170" 105 "She had, while a very young girl, as soon as she had known him to be,"
"171" 105 "in the event of her having no brother, the future baronet, meant to"
"172" 105 "marry him, and her father had always meant that she should.  He had not"
"173" 105 "been known to them as a boy; but soon after Lady Elliot's death, Sir"
"174" 105 "Walter had sought the acquaintance, and though his overtures had not"
"175" 105 "been met with any warmth, he had persevered in seeking it, making"
"176" 105 "allowance for the modest drawing-back of youth; and, in one of their"
"177" 105 "spring excursions to London, when Elizabeth was in her first bloom, Mr"
"178" 105 "Elliot had been forced into the introduction."
"179" 105 ""
"180" 105 "He was at that time a very young man, just engaged in the study of the"
"181" 105 "law; and Elizabeth found him extremely agreeable, and every plan in his"
"182" 105 "favour was confirmed.  He was invited to Kellynch Hall; he was talked"
"183" 105 "of and expected all the rest of the year; but he never came.  The"
"184" 105 "following spring he was seen again in town, found equally agreeable,"
"185" 105 "again encouraged, invited, and expected, and again he did not come; and"
"186" 105 "the next tidings were that he was married.  Instead of pushing his"
"187" 105 "fortune in the line marked out for the heir of the house of Elliot, he"
"188" 105 "had purchased independence by uniting himself to a rich woman of"
"189" 105 "inferior birth."
"190" 105 ""
"191" 105 "Sir Walter had resented it.  As the head of the house, he felt that he"
"192" 105 "ought to have been consulted, especially after taking the young man so"
"193" 105 "publicly by the hand; \"For they must have been seen together,\" he"
"194" 105 "observed, \"once at Tattersall's, and twice in the lobby of the House of"
"195" 105 "Commons.\"  His disapprobation was expressed, but apparently very little"
"196" 105 "regarded.  Mr Elliot had attempted no apology, and shewn himself as"
"197" 105 "unsolicitous of being longer noticed by the family, as Sir Walter"
"198" 105 "considered him unworthy of it:  all acquaintance between them had"
"199" 105 "ceased."
"200" 105 ""
"201" 105 "This very awkward history of Mr Elliot was still, after an interval of"
"202" 105 "several years, felt with anger by Elizabeth, who had liked the man for"
"203" 105 "himself, and still more for being her father's heir, and whose strong"
"204" 105 "family pride could see only in him a proper match for Sir Walter"
"205" 105 "Elliot's eldest daughter.  There was not a baronet from A to Z whom her"
"206" 105 "feelings could have so willingly acknowledged as an equal.  Yet so"
"207" 105 "miserably had he conducted himself, that though she was at this present"
"208" 105 "time (the summer of 1814) wearing black ribbons for his wife, she could"
"209" 105 "not admit him to be worth thinking of again.  The disgrace of his first"
"210" 105 "marriage might, perhaps, as there was no reason to suppose it"
"211" 105 "perpetuated by offspring, have been got over, had he not done worse;"
"212" 105 "but he had, as by the accustomary intervention of kind friends, they"
"213" 105 "had been informed, spoken most disrespectfully of them all, most"
"214" 105 "slightingly and contemptuously of the very blood he belonged to, and"
"215" 105 "the honours which were hereafter to be his own.  This could not be"
"216" 105 "pardoned."
"217" 105 ""
"218" 105 "Such were Elizabeth Elliot's sentiments and sensations; such the cares"
"219" 105 "to alloy, the agitations to vary, the sameness and the elegance, the"
"220" 105 "prosperity and the nothingness of her scene of life; such the feelings"
"221" 105 "to give interest to a long, uneventful residence in one country circle,"
"222" 105 "to fill the vacancies which there were no habits of utility abroad, no"
"223" 105 "talents or accomplishments for home, to occupy."
"224" 105 ""
"225" 105 "But now, another occupation and solicitude of mind was beginning to be"
"226" 105 "added to these.  Her father was growing distressed for money.  She"
"227" 105 "knew, that when he now took up the Baronetage, it was to drive the"
"228" 105 "heavy bills of his tradespeople, and the unwelcome hints of Mr"
"229" 105 "Shepherd, his agent, from his thoughts.  The Kellynch property was"
"230" 105 "good, but not equal to Sir Walter's apprehension of the state required"
"231" 105 "in its possessor.  While Lady Elliot lived, there had been method,"
"232" 105 "moderation, and economy, which had just kept him within his income; but"
"233" 105 "with her had died all such right-mindedness, and from that period he"
"234" 105 "had been constantly exceeding it.  It had not been possible for him to"
"235" 105 "spend less; he had done nothing but what Sir Walter Elliot was"
"236" 105 "imperiously called on to do; but blameless as he was, he was not only"
"237" 105 "growing dreadfully in debt, but was hearing of it so often, that it"
"238" 105 "became vain to attempt concealing it longer, even partially, from his"
"239" 105 "daughter.  He had given her some hints of it the last spring in town;"
"240" 105 "he had gone so far even as to say, \"Can we retrench?  Does it occur to"
"241" 105 "you that there is any one article in which we can retrench?\" and"
"242" 105 "Elizabeth, to do her justice, had, in the first ardour of female alarm,"
"243" 105 "set seriously to think what could be done, and had finally proposed"
"244" 105 "these two branches of economy, to cut off some unnecessary charities,"
"245" 105 "and to refrain from new furnishing the drawing-room; to which"
"246" 105 "expedients she afterwards added the happy thought of their taking no"
"247" 105 "present down to Anne, as had been the usual yearly custom.  But these"
"248" 105 "measures, however good in themselves, were insufficient for the real"
"249" 105 "extent of the evil, the whole of which Sir Walter found himself obliged"
"250" 105 "to confess to her soon afterwards.  Elizabeth had nothing to propose of"
"251" 105 "deeper efficacy.  She felt herself ill-used and unfortunate, as did her"
"252" 105 "father; and they were neither of them able to devise any means of"
"253" 105 "lessening their expenses without compromising their dignity, or"
"254" 105 "relinquishing their comforts in a way not to be borne."
"255" 105 ""
"256" 105 "There was only a small part of his estate that Sir Walter could dispose"
"257" 105 "of; but had every acre been alienable, it would have made no"
"258" 105 "difference.  He had condescended to mortgage as far as he had the"
"259" 105 "power, but he would never condescend to sell.  No; he would never"
"260" 105 "disgrace his name so far.  The Kellynch estate should be transmitted"
"261" 105 "whole and entire, as he had received it."
"262" 105 ""
"263" 105 "Their two confidential friends, Mr Shepherd, who lived in the"
"264" 105 "neighbouring market town, and Lady Russell, were called to advise them;"
"265" 105 "and both father and daughter seemed to expect that something should be"
"266" 105 "struck out by one or the other to remove their embarrassments and"
"267" 105 "reduce their expenditure, without involving the loss of any indulgence"
"268" 105 "of taste or pride."
"269" 105 ""
"270" 105 ""
"271" 105 ""
"272" 105 "<Chapter 2>"
"273" 105 ""
"274" 105 ""
"275" 105 "Mr Shepherd, a civil, cautious lawyer, who, whatever might be his hold"
"276" 105 "or his views on Sir Walter, would rather have the disagreeable prompted"
"277" 105 "by anybody else, excused himself from offering the slightest hint, and"
"278" 105 "only begged leave to recommend an implicit reference to the excellent"
"279" 105 "judgement of Lady Russell, from whose known good sense he fully"
"280" 105 "expected to have just such resolute measures advised as he meant to see"
"281" 105 "finally adopted."
"282" 105 ""
"283" 105 "Lady Russell was most anxiously zealous on the subject, and gave it"
"284" 105 "much serious consideration.  She was a woman rather of sound than of"
"285" 105 "quick abilities, whose difficulties in coming to any decision in this"
"286" 105 "instance were great, from the opposition of two leading principles."
"287" 105 "She was of strict integrity herself, with a delicate sense of honour;"
"288" 105 "but she was as desirous of saving Sir Walter's feelings, as solicitous"
"289" 105 "for the credit of the family, as aristocratic in her ideas of what was"
"290" 105 "due to them, as anybody of sense and honesty could well be.  She was a"
"291" 105 "benevolent, charitable, good woman, and capable of strong attachments,"
"292" 105 "most correct in her conduct, strict in her notions of decorum, and with"
"293" 105 "manners that were held a standard of good-breeding.  She had a"
"294" 105 "cultivated mind, and was, generally speaking, rational and consistent;"
"295" 105 "but she had prejudices on the side of ancestry; she had a value for"
"296" 105 "rank and consequence, which blinded her a little to the faults of those"
"297" 105 "who possessed them.  Herself the widow of only a knight, she gave the"
"298" 105 "dignity of a baronet all its due; and Sir Walter, independent of his"
"299" 105 "claims as an old acquaintance, an attentive neighbour, an obliging"
"300" 105 "landlord, the husband of her very dear friend, the father of Anne and"
"301" 105 "her sisters, was, as being Sir Walter, in her apprehension, entitled to"
"302" 105 "a great deal of compassion and consideration under his present"
"303" 105 "difficulties."
"304" 105 ""
"305" 105 "They must retrench; that did not admit of a doubt.  But she was very"
"306" 105 "anxious to have it done with the least possible pain to him and"
"307" 105 "Elizabeth. She drew up plans of economy, she made exact calculations,"
"308" 105 "and she did what nobody else thought of doing:  she consulted Anne, who"
"309" 105 "never seemed considered by the others as having any interest in the"
"310" 105 "question. She consulted, and in a degree was influenced by her in"
"311" 105 "marking out the scheme of retrenchment which was at last submitted to"
"312" 105 "Sir Walter. Every emendation of Anne's had been on the side of honesty"
"313" 105 "against importance.  She wanted more vigorous measures, a more complete"
"314" 105 "reformation, a quicker release from debt, a much higher tone of"
"315" 105 "indifference for everything but justice and equity."
"316" 105 ""
"317" 105 "\"If we can persuade your father to all this,\" said Lady Russell,"
"318" 105 "looking over her paper, \"much may be done.  If he will adopt these"
"319" 105 "regulations, in seven years he will be clear; and I hope we may be able"
"320" 105 "to convince him and Elizabeth, that Kellynch Hall has a respectability"
"321" 105 "in itself which cannot be affected by these reductions; and that the"
"322" 105 "true dignity of Sir Walter Elliot will be very far from lessened in the"
"323" 105 "eyes of sensible people, by acting like a man of principle.  What will"
"324" 105 "he be doing, in fact, but what very many of our first families have"
"325" 105 "done, or ought to do?  There will be nothing singular in his case; and"
"326" 105 "it is singularity which often makes the worst part of our suffering, as"
"327" 105 "it always does of our conduct.  I have great hope of prevailing.  We"
"328" 105 "must be serious and decided; for after all, the person who has"
"329" 105 "contracted debts must pay them; and though a great deal is due to the"
"330" 105 "feelings of the gentleman, and the head of a house, like your father,"
"331" 105 "there is still more due to the character of an honest man.\""
"332" 105 ""
"333" 105 "This was the principle on which Anne wanted her father to be"
"334" 105 "proceeding, his friends to be urging him.  She considered it as an act"
"335" 105 "of indispensable duty to clear away the claims of creditors with all"
"336" 105 "the expedition which the most comprehensive retrenchments could secure,"
"337" 105 "and saw no dignity in anything short of it.  She wanted it to be"
"338" 105 "prescribed, and felt as a duty.  She rated Lady Russell's influence"
"339" 105 "highly; and as to the severe degree of self-denial which her own"
"340" 105 "conscience prompted, she believed there might be little more difficulty"
"341" 105 "in persuading them to a complete, than to half a reformation.  Her"
"342" 105 "knowledge of her father and Elizabeth inclined her to think that the"
"343" 105 "sacrifice of one pair of horses would be hardly less painful than of"
"344" 105 "both, and so on, through the whole list of Lady Russell's too gentle"
"345" 105 "reductions."
"346" 105 ""
"347" 105 "How Anne's more rigid requisitions might have been taken is of little"
"348" 105 "consequence.  Lady Russell's had no success at all: could not be put up"
"349" 105 "with, were not to be borne. \"What! every comfort of life knocked off!"
"350" 105 "Journeys, London, servants, horses, table--contractions and"
"351" 105 "restrictions every where!  To live no longer with the decencies even of"
"352" 105 "a private gentleman!  No, he would sooner quit Kellynch Hall at once,"
"353" 105 "than remain in it on such disgraceful terms.\""
"354" 105 ""
"355" 105 "\"Quit Kellynch Hall.\"  The hint was immediately taken up by Mr"
"356" 105 "Shepherd, whose interest was involved in the reality of Sir Walter's"
"357" 105 "retrenching, and who was perfectly persuaded that nothing would be done"
"358" 105 "without a change of abode.  \"Since the idea had been started in the"
"359" 105 "very quarter which ought to dictate, he had no scruple,\" he said, \"in"
"360" 105 "confessing his judgement to be entirely on that side.  It did not"
"361" 105 "appear to him that Sir Walter could materially alter his style of"
"362" 105 "living in a house which had such a character of hospitality and ancient"
"363" 105 "dignity to support.  In any other place Sir Walter might judge for"
"364" 105 "himself; and would be looked up to, as regulating the modes of life in"
"365" 105 "whatever way he might choose to model his household.\""
"366" 105 ""
"367" 105 "Sir Walter would quit Kellynch Hall; and after a very few days more of"
"368" 105 "doubt and indecision, the great question of whither he should go was"
"369" 105 "settled, and the first outline of this important change made out."
"370" 105 ""
"371" 105 "There had been three alternatives, London, Bath, or another house in"
"372" 105 "the country.  All Anne's wishes had been for the latter.  A small house"
"373" 105 "in their own neighbourhood, where they might still have Lady Russell's"
"374" 105 "society, still be near Mary, and still have the pleasure of sometimes"
"375" 105 "seeing the lawns and groves of Kellynch, was the object of her"
"376" 105 "ambition.  But the usual fate of Anne attended her, in having something"
"377" 105 "very opposite from her inclination fixed on.  She disliked Bath, and"
"378" 105 "did not think it agreed with her; and Bath was to be her home."
"379" 105 ""
"380" 105 "Sir Walter had at first thought more of London; but Mr Shepherd felt"
"381" 105 "that he could not be trusted in London, and had been skilful enough to"
"382" 105 "dissuade him from it, and make Bath preferred.  It was a much safer"
"383" 105 "place for a gentleman in his predicament:  he might there be important"
"384" 105 "at comparatively little expense.  Two material advantages of Bath over"
"385" 105 "London had of course been given all their weight:  its more convenient"
"386" 105 "distance from Kellynch, only fifty miles, and Lady Russell's spending"
"387" 105 "some part of every winter there; and to the very great satisfaction of"
"388" 105 "Lady Russell, whose first views on the projected change had been for"
"389" 105 "Bath, Sir Walter and Elizabeth were induced to believe that they should"
"390" 105 "lose neither consequence nor enjoyment by settling there."
"391" 105 ""
"392" 105 "Lady Russell felt obliged to oppose her dear Anne's known wishes.  It"
"393" 105 "would be too much to expect Sir Walter to descend into a small house in"
"394" 105 "his own neighbourhood.  Anne herself would have found the"
"395" 105 "mortifications of it more than she foresaw, and to Sir Walter's"
"396" 105 "feelings they must have been dreadful.  And with regard to Anne's"
"397" 105 "dislike of Bath, she considered it as a prejudice and mistake arising,"
"398" 105 "first, from the circumstance of her having been three years at school"
"399" 105 "there, after her mother's death; and secondly, from her happening to be"
"400" 105 "not in perfectly good spirits the only winter which she had afterwards"
"401" 105 "spent there with herself."
"402" 105 ""
"403" 105 "Lady Russell was fond of Bath, in short, and disposed to think it must"
"404" 105 "suit them all; and as to her young friend's health, by passing all the"
"405" 105 "warm months with her at Kellynch Lodge, every danger would be avoided;"
"406" 105 "and it was in fact, a change which must do both health and spirits"
"407" 105 "good.  Anne had been too little from home, too little seen. Her spirits"
"408" 105 "were not high.  A larger society would improve them.  She wanted her to"
"409" 105 "be more known."
"410" 105 ""
"411" 105 "The undesirableness of any other house in the same neighbourhood for"
"412" 105 "Sir Walter was certainly much strengthened by one part, and a very"
"413" 105 "material part of the scheme, which had been happily engrafted on the"
"414" 105 "beginning.  He was not only to quit his home, but to see it in the"
"415" 105 "hands of others; a trial of fortitude, which stronger heads than Sir"
"416" 105 "Walter's have found too much.  Kellynch Hall was to be let.  This,"
"417" 105 "however, was a profound secret, not to be breathed beyond their own"
"418" 105 "circle."
"419" 105 ""
"420" 105 "Sir Walter could not have borne the degradation of being known to"
"421" 105 "design letting his house.  Mr Shepherd had once mentioned the word"
"422" 105 "\"advertise,\" but never dared approach it again.  Sir Walter spurned the"
"423" 105 "idea of its being offered in any manner; forbad the slightest hint"
"424" 105 "being dropped of his having such an intention; and it was only on the"
"425" 105 "supposition of his being spontaneously solicited by some most"
"426" 105 "unexceptionable applicant, on his own terms, and as a great favour,"
"427" 105 "that he would let it at all."
"428" 105 ""
"429" 105 "How quick come the reasons for approving what we like!  Lady Russell"
"430" 105 "had another excellent one at hand, for being extremely glad that Sir"
"431" 105 "Walter and his family were to remove from the country.  Elizabeth had"
"432" 105 "been lately forming an intimacy, which she wished to see interrupted."
"433" 105 "It was with the daughter of Mr Shepherd, who had returned, after an"
"434" 105 "unprosperous marriage, to her father's house, with the additional"
"435" 105 "burden of two children.  She was a clever young woman, who understood"
"436" 105 "the art of pleasing--the art of pleasing, at least, at Kellynch Hall;"
"437" 105 "and who had made herself so acceptable to Miss Elliot, as to have been"
"438" 105 "already staying there more than once, in spite of all that Lady"
"439" 105 "Russell, who thought it a friendship quite out of place, could hint of"
"440" 105 "caution and reserve."
"441" 105 ""
"442" 105 "Lady Russell, indeed, had scarcely any influence with Elizabeth, and"
"443" 105 "seemed to love her, rather because she would love her, than because"
"444" 105 "Elizabeth deserved it.  She had never received from her more than"
"445" 105 "outward attention, nothing beyond the observances of complaisance; had"
"446" 105 "never succeeded in any point which she wanted to carry, against"
"447" 105 "previous inclination.  She had been repeatedly very earnest in trying"
"448" 105 "to get Anne included in the visit to London, sensibly open to all the"
"449" 105 "injustice and all the discredit of the selfish arrangements which shut"
"450" 105 "her out, and on many lesser occasions had endeavoured to give Elizabeth"
"451" 105 "the advantage of her own better judgement and experience; but always in"
"452" 105 "vain:  Elizabeth would go her own way; and never had she pursued it in"
"453" 105 "more decided opposition to Lady Russell than in this selection of Mrs"
"454" 105 "Clay; turning from the society of so deserving a sister, to bestow her"
"455" 105 "affection and confidence on one who ought to have been nothing to her"
"456" 105 "but the object of distant civility."
"457" 105 ""
"458" 105 "From situation, Mrs Clay was, in Lady Russell's estimate, a very"
"459" 105 "unequal, and in her character she believed a very dangerous companion;"
"460" 105 "and a removal that would leave Mrs Clay behind, and bring a choice of"
"461" 105 "more suitable intimates within Miss Elliot's reach, was therefore an"
"462" 105 "object of first-rate importance."
"463" 105 ""
"464" 105 ""
"465" 105 ""
"466" 105 "<Chapter 3>"
"467" 105 ""
"468" 105 ""
"469" 105 "\"I must take leave to observe, Sir Walter,\" said Mr Shepherd one"
"470" 105 "morning at Kellynch Hall, as he laid down the newspaper, \"that the"
"471" 105 "present juncture is much in our favour.  This peace will be turning all"
"472" 105 "our rich naval officers ashore.  They will be all wanting a home."
"473" 105 "Could not be a better time, Sir Walter, for having a choice of tenants,"
"474" 105 "very responsible tenants.  Many a noble fortune has been made during"
"475" 105 "the war.  If a rich admiral were to come in our way, Sir Walter--\""
"476" 105 ""
"477" 105 "\"He would be a very lucky man, Shepherd,\" replied Sir Walter; \"that's"
"478" 105 "all I have to remark.  A prize indeed would Kellynch Hall be to him;"
"479" 105 "rather the greatest prize of all, let him have taken ever so many"
"480" 105 "before; hey, Shepherd?\""
"481" 105 ""
"482" 105 "Mr Shepherd laughed, as he knew he must, at this wit, and then added--"
"483" 105 ""
"484" 105 "\"I presume to observe, Sir Walter, that, in the way of business,"
"485" 105 "gentlemen of the navy are well to deal with.  I have had a little"
"486" 105 "knowledge of their methods of doing business; and I am free to confess"
"487" 105 "that they have very liberal notions, and are as likely to make"
"488" 105 "desirable tenants as any set of people one should meet with."
"489" 105 "Therefore, Sir Walter, what I would take leave to suggest is, that if"
"490" 105 "in consequence of any rumours getting abroad of your intention; which"
"491" 105 "must be contemplated as a possible thing, because we know how difficult"
"492" 105 "it is to keep the actions and designs of one part of the world from the"
"493" 105 "notice and curiosity of the other; consequence has its tax; I, John"
"494" 105 "Shepherd, might conceal any family-matters that I chose, for nobody"
"495" 105 "would think it worth their while to observe me; but Sir Walter Elliot"
"496" 105 "has eyes upon him which it may be very difficult to elude; and"
"497" 105 "therefore, thus much I venture upon, that it will not greatly surprise"
"498" 105 "me if, with all our caution, some rumour of the truth should get"
"499" 105 "abroad; in the supposition of which, as I was going to observe, since"
"500" 105 "applications will unquestionably follow, I should think any from our"
"501" 105 "wealthy naval commanders particularly worth attending to; and beg leave"
"502" 105 "to add, that two hours will bring me over at any time, to save you the"
"503" 105 "trouble of replying.\""
"504" 105 ""
"505" 105 "Sir Walter only nodded.  But soon afterwards, rising and pacing the"
"506" 105 "room, he observed sarcastically--"
"507" 105 ""
"508" 105 "\"There are few among the gentlemen of the navy, I imagine, who would"
"509" 105 "not be surprised to find themselves in a house of this description.\""
"510" 105 ""
"511" 105 "\"They would look around them, no doubt, and bless their good fortune,\""
"512" 105 "said Mrs Clay, for Mrs Clay was present:  her father had driven her"
"513" 105 "over, nothing being of so much use to Mrs Clay's health as a drive to"
"514" 105 "Kellynch: \"but I quite agree with my father in thinking a sailor might"
"515" 105 "be a very desirable tenant.  I have known a good deal of the"
"516" 105 "profession; and besides their liberality, they are so neat and careful"
"517" 105 "in all their ways!  These valuable pictures of yours, Sir Walter, if"
